PO_Node,Cent_Node,TravTime
56481980,56481989,2.240824
56481980,56481990,1.822369
56481980,56481991,1.72865
56481980,56481992,1.258302
56481980,56481993,1.713742
56481980,56481994,1.480711
56481980,56481995,1.507215
56481980,56481996,1.896339
56481980,56481997,2.356828
56481980,56481998,1.669118
56481980,56481999,1.658399
56481980,56482000,3.694335
56481980,56482001,2.81852
56481980,56482002,2.047382
56481980,56482003,1.859287
56481980,56482004,1.463541
56481980,56482005,1.343349
56481980,56482006,1.131865
56481980,56482007,1.116939
56481980,56482008,0.795791
56481980,56482009,2.150608
56481980,56482010,1.569702
56481980,56482011,2.012425
56481980,56482012,2.34727
56481980,56482013,2.604506
56481980,56482014,3.239661
56481980,56482015,4.505128
56481980,56482016,0.756156
56481980,56482017,1.12512
56481980,56482018,0.850683
56481980,56482019,1.224616
56481980,56482020,1.278738
56481980,56482021,1.168315
56481980,56482022,2.086484
56481980,56482023,1.736572
56481980,56482024,1.307591
56481980,56482025,2.195753
56481980,56482026,1.17903
56481980,56482027,2.2423
56481980,56482028,2.701011
56481980,56482029,3.160811
56481980,56482030,3.492867
56481980,56482031,4.334714
56481980,56482032,2.676385
56481980,56482033,3.252032
56481980,56482034,3.737382
56481980,56482035,3.602815
56481980,56482036,4.098376
56481980,56482037,3.989437
56481980,56482038,5.099677
56481980,56482039,4.623022
56481980,56482040,4.874776
56481980,56482041,5.646937
56481980,56482042,4.688496
56481980,56482043,5.760644
56481980,56482044,4.430999
56481980,56482045,4.851439
56481980,56482046,4.407869
56481980,56482047,3.867433
56481980,56482048,3.304817
56481980,56482049,2.05544
56481980,56482050,1.840684
56481980,56482051,2.214803
56481980,56482052,2.829079
56481980,56482053,3.877303
56481980,56482054,4.086857
56481980,56482055,4.315721
56481980,56482056,3.078532
56481980,56482057,3.440653
56481980,56482058,2.735695
56481980,56482059,3.211643
56481980,56482060,5.335967
56481980,56482061,4.666652
56481980,56482062,7.229043
56481980,56482063,5.615477
56481980,56482064,5.288867
56481980,56482065,4.732438
56481980,56482066,4.201897
56481980,56482067,4.551036
56481980,56482068,5.002416
56481980,56482069,4.472495
56481980,56482070,3.971375
56481980,56482071,3.868597
56481980,56482072,4.324572
56481980,56482073,4.943091
56481980,56482074,3.973455
56481980,56482075,5.361362
56481980,56482076,5.178506
56481980,56482077,5.244313
56481980,56482078,1.599512
56481980,56482079,1.46307
56481980,56482080,2.226818
56481980,56482081,2.035585
56481980,56482082,2.00038
56481980,56482083,2.246916
56481980,56482084,2.332526
56481980,56482085,2.710613
56481980,56482086,2.443368
56481980,56482087,3.101254
56481980,56482088,2.99602
56481980,56482089,2.621027
56481980,56482090,3.131087
56481980,56482091,3.871678
