ID,Longitude,Latitude,BG_Centroid_ID,Population
56482125,-71396816,41828720,814,1425
56482015,-71457830,41840029,812,314
56482004,-71462973,41823830,806,1299
56482096,-71420246,41837774,801,674
56482072,-71410026,41806517,791,1256
56482035,-71441539,41836876,783,655
56482116,-71424913,41855575,765,2042
56482118,-71416355,41854955,762,941
56482074,-71402808,41808468,754,409
56482020,-71447155,41822651,750,1116
56482084,-71426327,41824093,735,1354
56482031,-71450382,41844139,732,1391
56482007,-71453285,41814455,715,868
56482041,-71441851,41852822,712,2166
56482138,-71382810,41848241,703,1045
56482114,-71427277,41847715,702,1175
56482089,-71428463,41828993,701,1646
56482032,-71441612,41830867,700,1163
56481998,-71436512,41808569,697,1007
56482098,-71416240,41812725,696,1315
56482001,-71465385,41812351,687,1098
56482019,-71449893,41820888,683,833
56482097,-71418903,41844631,676,948
56482033,-71441532,41833780,663,758
56482024,-71435845,41820018,648,1210
56481992,-71452381,41811718,635,1607
56481995,-71444444,41808405,633,1346
56482132,-71381171,41831700,599,1382
56482017,-71445332,41812578,584,1419
56482102,-71410800,41823000,583,1795
56482076,-71399948,41792576,574,1289
56482130,-71387779,41828668,532,738
56482127,-71396179,41836921,531,1700
56482136,-71393901,41850429,530,882
56482109,-71406059,41840324,529,826
56482112,-71433967,41849403,528,1354
56482105,-71412384,41838693,527,726
56482093,-71427303,41838116,526,1058
56482094,-71420963,41834160,525,1366
56482036,-71441696,41839918,524,706
56482025,-71441284,41827200,523,1367
56482022,-71446323,41827412,522,1892
56482137,-71394722,41854557,501,1445
56482038,-71449600,41850319,496,711
56482012,-71456818,41830789,490,1350
56482103,-71403656,41823793,486,2188
56482060,-71415598,41783556,485,1412
56482006,-71454914,41819961,484,1693
56482046,-71426385,41791390,483,970
56481996,-71438818,41806192,482,1328
56482023,-71438636,41812245,481,1093
56482101,-71414543,41825901,480,1622
56482056,-71424271,41804291,479,924
56482043,-71434720,41855893,464,1461
56482047,-71423324,41793917,437,853
56482135,-71398899,41848823,425,1170
56482111,-71404176,41844373,418,1055
56482078,-71433315,41814224,408,909
56482100,-71415809,41819276,407,1152
56482071,-71416168,41808546,401,1055
56482063,-71408683,41789461,386,1634
56482124,-71385837,41826044,371,1429
56482044,-71433143,41794763,370,1134
56482045,-71426605,41787428,360,890
56482061,-71416793,41791227,357,1716
56482034,-71434677,41836130,356,1109
56482086,-71424604,41819290,350,686
56482131,-71388473,41836868,343,835
56482040,-71440792,41845718,342,915
56482029,-71447448,41834879,341,1247
56481990,-71458294,41810360,340,1677
56482081,-71428066,41819156,339,796
56482000,-71467801,41837230,336,2322
56482075,-71401008,41789560,335,1211
56482091,-71431068,41838779,331,1338
56482068,-71409759,41796973,330,1221
56482110,-71402214,41838863,329,928
56482021,-71442680,41822078,328,1365
56482027,-71437435,41827829,327,941
56482065,-71415191,41796821,326,1287
56482066,-71417019,41802812,324,1015
56482009,-71455345,41827835,323,986
56482026,-71437971,41820320,322,627
56482099,-71414203,41813926,319,555
56482053,-71421966,41800405,318,1497
56482062,-71409073,41780858,317,1239
56482067,-71414661,41799890,316,684
56482057,-71422622,41803959,311,1208
56482113,-71431049,41851068,308,1111
56482104,-71405048,41827903,302,2754
56482129,-71391101,41831921,291,925
56482128,-71394420,41843937,290,645
56482092,-71430427,41843854,289,1773
56482011,-71451294,41827045,288,1476
56482010,-71451301,41823831,287,665
56482085,-71424534,41815076,286,1300
56482055,-71419254,41795807,278,1050
56482077,-71394649,41789194,271,752
56482120,-71404410,41849573,268,635
56482108,-71407001,41836945,263,915
56482016,-71447521,41815464,248,753
56482042,-71436570,41845230,246,2248
56482058,-71425617,41810804,242,852
56481994,-71446512,41808849,237,1177
56482117,-71416523,41850874,229,1717
56482048,-71428760,41798770,225,918
56482052,-71427608,41805279,223,1493
56482119,-71415017,41853615,222,1112
56482079,-71433159,41818744,219,1246
56482121,-71400715,41820799,211,638
56481997,-71434719,41803792,210,1784
56481991,-71455051,41808097,207,996
56482059,-71422497,41809778,204,674
56482049,-71432056,41807431,198,1451
56482090,-71426216,41833860,191,1338
56482030,-71448154,41837461,167,673
56482087,-71418891,41814838,166,801
56482122,-71396110,41821159,128,1110
56482107,-71404682,41832429,127,995
56482133,-71380719,41840666,126,1189
56482126,-71399605,41842846,125,813
56482106,-71408249,41832256,124,920
56482115,-71422767,41845212,123,1064
56482095,-71423679,41841316,122,1765
56482039,-71445366,41845854,121,1181
56482037,-71436378,41840366,120,741
56482088,-71433849,41831697,119,1275
56482013,-71451984,41830755,118,766
56482005,-71457695,41815799,117,1231
56481989,-71460632,41807484,116,1071
56482051,-71430784,41810343,115,1123
56481999,-71437656,41810387,114,1259
56482083,-71426059,41820925,113,991
56482070,-71416561,41805843,112,778
56482003,-71465715,41821054,93,1025
56482069,-71413296,41803591,89,913
56482134,-71398327,41845257,74,757
56482082,-71429382,41822138,63,963
56482008,-71452904,41816602,62,869
56482073,-71409481,41800916,53,1135
56482050,-71433601,41811515,52,995
56482123,-71394005,41826080,47,1606
56482028,-71446952,41831235,43,719
56482064,-71405834,41791557,37,1018
56482018,-71443748,41819380,23,953
56482054,-71420845,41797990,20,1546
56482014,-71451687,41834913,15,655
56481993,-71450535,41808409,12,1370
56482002,-71460834,41815712,6,1198
56482080,-71428615,41814168,5,743
